addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
13	14	3	4	8	9	10	11	16	21	26	33	37	38	39	67	8	8	6	6	1	7	4	9	10	6	10	2	2	7	2018-07-20 19:49:55	40013	1532087395397	1
3	10	4	8	10	11	12	13	16	21	37	80	0	0	0	0	6	9	9	7	7	8	6	5	2	10	0	0	0	0	2018-07-20 19:49:55	40003	1532087395466	2
10	8	3	4	12	13	17	20	70	80	0	0	0	0	0	0	9	9	9	1	10	4	8	10	0	0	0	0	0	0	2018-07-20 19:49:55	40010	1532087395568	3
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	7	10	9	10	8	0	0	0	0	0	0	0	0	0	2018-07-20 19:49:55	40008	1532087395624	4
21	8	3	4	12	13	17	20	37	80	0	0	0	0	0	0	8	10	9	9	8	8	5	2	0	0	0	0	0	0	2018-07-20 19:49:55	40021	1532087395670	5
20	7	3	4	10	11	12	16	21	0	0	0	0	0	0	0	4	10	10	10	9	10	10	0	0	0	0	0	0	0	2018-07-20 19:49:55	40020	1532087395754	6
11	5	3	4	13	16	20	0	0	0	0	0	0	0	0	0	8	9	9	9	8	0	0	0	0	0	0	0	0	0	2018-07-20 19:49:55	40011	1532087395787	7
16	5	3	4	11	13	20	0	0	0	0	0	0	0	0	0	8	10	10	9	10	0	0	0	0	0	0	0	0	0	2018-07-20 19:49:55	40016	1532087395820	8
12	8	3	4	10	11	17	20	21	80	0	0	0	0	0	0	10	10	10	2	10	6	2	10	0	0	0	0	0	0	2018-07-20 19:49:55	40012	1532087395896	9
4	12	3	10	11	12	13	16	17	20	21	37	70	80	0	0	10	10	8	10	9	8	6	10	10	9	9	8	0	0	2018-07-20 19:49:55	40004	1532087395954	10
9	4	8	13	39	67	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	0	0	0	0	2018-07-20 19:49:55	40009	1532087395987	11
17	5	4	10	12	21	80	0	0	0	0	0	0	0	0	0	7	10	10	9	10	0	0	0	0	0	0	0	0	0	2018-07-20 19:49:56	40017	1532087396055	12
24	6	32	33	40	41	44	56	0	0	0	0	0	0	0	0	9	9	4	8	6	8	0	0	0	0	0	0	0	0	2018-07-20 19:49:56	40024	1532087396759	13
