addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
4	12	3	10	11	12	13	16	17	20	21	37	70	80	0	0	10	10	8	10	9	10	9	10	10	10	7	8	0	0	2018-07-19 10:36:15	40004	1531967775800	1
13	11	4	9	10	11	16	21	26	33	37	38	67	0	0	0	6	7	1	7	4	5	8	9	10	2	2	0	0	0	2018-07-19 10:36:15	40013	1531967775878	2
20	7	3	4	10	11	12	16	21	0	0	0	0	0	0	0	10	10	6	10	9	10	10	0	0	0	0	0	0	0	2018-07-19 10:36:15	40020	1531967775911	3
12	8	3	4	10	17	20	21	70	80	0	0	0	0	0	0	10	10	10	10	5	7	7	10	0	0	0	0	0	0	2018-07-19 10:36:15	40012	1531967775978	4
3	10	4	8	10	11	12	16	17	20	21	80	0	0	0	0	6	6	10	8	9	5	9	2	5	5	0	0	0	0	2018-07-19 10:36:16	40003	1531967776011	5
17	6	3	4	10	12	21	80	0	0	0	0	0	0	0	0	8	8	10	10	10	10	0	0	0	0	0	0	0	0	2018-07-19 10:36:16	40017	1531967776045	6
16	6	3	4	11	13	20	21	0	0	0	0	0	0	0	0	8	10	10	7	10	8	0	0	0	0	0	0	0	0	2018-07-19 10:36:16	40016	1531967776078	7
9	5	8	13	39	64	67	0	0	0	0	0	0	0	0	0	10	10	10	1	10	0	0	0	0	0	0	0	0	0	2018-07-19 10:36:16	40009	1531967776111	8
11	5	3	4	13	16	20	0	0	0	0	0	0	0	0	0	9	6	8	10	10	0	0	0	0	0	0	0	0	0	2018-07-19 10:36:16	40011	1531967776145	9
10	8	3	4	12	13	17	21	70	80	0	0	0	0	0	0	8	8	10	4	10	7	10	10	0	0	0	0	0	0	2018-07-19 10:36:16	40010	1531967776266	10
21	10	3	4	10	12	13	16	17	20	37	80	0	0	0	0	8	10	7	9	9	6	10	10	9	2	0	0	0	0	2018-07-19 10:36:16	40021	1531967776295	11
8	4	3	9	64	67	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	0	0	0	0	2018-07-19 10:36:16	40008	1531967776347	12
41	13	32	38	40	43	44	47	48	50	52	53	56	63	77	0	3	4	10	10	10	10	7	10	10	1	7	9	10	0	2018-07-19 10:36:17	40041	1531967777217	13
